1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2020:Q4,148554352,43462318,36638149,32904601,3733548,482216,207533,6134420,105092034,48460,3184080,10300118,2690689,4043275,1331708,493977,1932685,284905,1203114,1098479,80573,24062,26064591,10957016,279498,1866971,29794304,13293136,1366781,17177976,202617,16499193,10862374,4184853,370694,708630,372642,439575,36591,131376375,12333000,425336,398604,26732,20307408,19985912,321496,2060952,17436244,753.4671764959159,22042227,66.98828170939505
2021:Q1,153747716,44952408,37980101,34177455,3802646,492703,208760,6270844,108795308,49812,3551808,10814286,2781579,3430066,878293,417132,1889533,245108,1209852,1103541,82474,23837,28093415,11422764,281190,1872793,30196791,13715029,1375923,17355720,203182,16666410,10984894,4167191,370337,766988,377000,447416,38712,136391996,12695000,438358,412344,26014,21129519,20799113,330406,2079655,19586547,696.3554919748559,23192561,67.85923882639132
2021:Q2,160398550,47166514,39835484,35903441,3932043,493387,211575,6626068,113232036,48534,3872522,10640199,2765164,3354931,691227,532428,1881129,250147,1233321,1126365,83770,23186,30348387,12033294,282882,1910275,30949582,14410550,1382395,17710852,203033,17014669,11210817,4259264,370783,792447,381358,455257,37893,142687698,13396000,464369,437173,27196,22121299,21779363,341936,2132308,18277834,780.6597763108468,24692624,68.7750895192258
2021:Q3,164091060,49406000,41801637,37591712,4209925,504078,215128,6885157,114685060,47258,3945683,10770290,2698802,3377064,826394,471497,1826239,252934,1279723,1171789,85220,22714,30631395,12014790,284574,1926919,31017212,15286165,1405186,18075584,202049,17372570,11450596,4337419,383966,814873,385716,463098,37867,146015476,13336000,458454,431111,27343,23095838,22742399,353439,2196035,18312027,797.3747314627102,26141116,69.53957214886202
2021:Q4,168888920,50530500,42672875,38297482,4375393,517434,218574,7121617,118358420,48212,4156386,11090877,2793261,3165532,609906,502915,1796811,255900,1296553,1187512,86613,22428,31921307,12687324,286266,1944912,31668275,15879133,1420383,18479122,201053,17769056,11704575,4430807,423037,820563,390074,470939,38074,150409798,13913000,480267,452578,27689,23972448,23609408,363040,2321559,18356062,819.4012317722809,26592907,69.43774185528025
2022:Q1,171276669,54197996,46079912,41746924,4332988,532174,221854,7364056,117078673,50177,4390834,11125849,2766423,3293259,838893,554772,1645352,254242,1398733,1290496,86265,21972,31193046,11744980,288001,1935077,31105346,16356997,1429951,18682907,203119,17960737,11844869,4462622,436148,821983,395115,479215,39836,152593762,13168000,457683,431715,25968,25139144,24759589,379555,2414957,18174386,839.6088962797915,29902055,71.62696511060892
2022:Q2,166247026,56575912,48307539,43946999,4360540,548843,225902,7493628,109671114,51334,4704065,10699758,2818470,3457270,863820,737007,1603336,253107,1350563,1243484,85480,21599,26167177,9952223,289736,1907608,29798022,17024680,1450208,19046644,200735,18319379,12107452,4583410,456198,772163,400156,487491,39039,147200382,11669000,412492,388243,24249,26154387,25760637,393750,2516293,18389795,800.4460173829051,31839547,72.44987692614102
2022:Q3,163565301,55517334,47086552,42669840,4416712,562087,230152,7638543,108047967,52879,4769449,10374027,2905229,3975405,1264415,926562,1531395,253033,1285424,1179105,85234,21085,25029427,9269705,291471,1907745,29462960,17246798,1477448,19374383,200041,18639519,12320306,4681075,468465,764476,405197,495767,39056,144190918,11048000,411114,388243,22871,26730922,26328968,401954,2636489,18732995,769.7163102389062,30349534,71.12642955359669
2022:Q4,165405347,54652893,46166177,41786017,4380160,575824,232640,7678252,110752454,52355,4507770,10305487,3066172,4666034,1721927,1075928,1609710,258469,1221810,1116754,84805,20251,26366239,9690417,293206,1933277,30081627,17057730,1510331,19595493,200307,18854528,12474615,4785749,491837,692089,410238,504043,36615,145809853,11484000,411297,387985,23312,27140345,26733234,407111,2688690,19025118,766.4070911905737,29311402,70.14643663748191
2023:Q1,168453826,54124072,45548882,41178141,4370741,591612,238237,7745341,114329754,52078,4513208,9885128,3366124,5558602,2270635,1355618,1668507,263841,1197144,1092218,84752,20174,27918834,10243376,294954,1966828,30724630,17070040,1538810,19618480,200290,18868597,12519667,4777413,470634,684138,416745,511954,37639,148835347,ND,432538,408456,24082,27109956,26704280,405676,2738765,19586685,759.88022913772,28658474,69.59632880702998
